FrameIndex;EpochTime;Marker
0;1759494279.5043106;
1;1759494279.5211549;
2;1759494279.534062;
3;1759494279.5463638;
4;1759494279.5577455;
5;1759494279.578511;
6;1759494279.6089354;
7;1759494279.640661;
8;1759494279.6718607;
9;1759494279.7025864;
10;1759494279.73711;
11;1759494279.766059;
12;1759494279.79831;
13;1759494279.8483145;
14;1759494279.878286;
15;1759494279.909451;
16;1759494279.943606;
17;1759494279.977288;
18;1759494280.0090528;
19;1759494280.0464156;
20;1759494280.0751011;
21;1759494280.1046498;
22;1759494280.1386917;
23;1759494280.1696675;
24;1759494280.202239;
25;1759494280.2499979;
26;1759494280.2858214;
27;1759494280.3136604;
28;1759494280.3486962;
29;1759494280.3761044;
30;1759494280.4105985;
31;1759494280.4680915;
32;1759494280.4814277;
33;1759494280.5111365;
34;1759494280.538521;
35;1759494280.572028;
36;1759494280.602752;
37;1759494280.6554282;
38;1759494280.6855528;
39;1759494280.7191796;
40;1759494280.7482347;
41;1759494280.7799406;
42;1759494280.8105586;
43;1759494280.8471906;
44;1759494280.8786864;
45;1759494280.9121256;
46;1759494280.9451132;
47;1759494280.9734647;
48;1759494281.0056977;
49;1759494281.0539057;
50;1759494281.0840783;
51;1759494281.1188493;
52;1759494281.1533325;
53;1759494281.1823595;
54;1759494281.2138438;
55;1759494281.246135;
56;1759494281.2786028;
57;1759494281.3110032;
58;1759494281.3420086;
59;1759494281.3762078;
60;1759494281.4066622;
61;1759494281.4516847;
62;1759494281.4858234;
63;1759494281.5187163;
64;1759494281.549278;
65;1759494281.5838418;
66;1759494281.6135428;
67;1759494281.645926;
68;1759494281.6789858;
69;1759494281.7097983;
70;1759494281.741767;
71;1759494281.7738962;
72;1759494281.8096852;
73;1759494281.8534536;
74;1759494281.886959;
75;1759494281.9187663;
76;1759494281.949367;
77;1759494281.9820442;
78;1759494282.0167081;
79;1759494282.0456228;
80;1759494282.0790458;
81;1759494282.108056;
82;1759494282.1406703;
83;1759494282.1693642;
84;1759494282.2016194;
85;1759494282.2533321;
86;1759494282.284558;
87;1759494282.3154428;
88;1759494282.3444192;
89;1759494282.3773837;
90;1759494282.4098518;
91;1759494282.4424808;
92;1759494282.4760919;
93;1759494282.5084891;
94;1759494282.5409727;
95;1759494282.5746284;
96;1759494282.602161;
97;1759494282.655242;
98;1759494282.6917603;
99;1759494282.7169614;
100;1759494282.7503152;
101;1759494282.7829533;
102;1759494282.813028;
103;1759494282.844345;
104;1759494282.8764703;
105;1759494282.9130623;
106;1759494282.9406664;
107;1759494282.9748175;
108;1759494283.0044873;
109;1759494283.0532885;
110;1759494283.0826094;
111;1759494283.1188176;
112;1759494283.1450365;
113;1759494283.1774843;
114;1759494283.2093232;
115;1759494283.2462528;
116;1759494283.27591;
117;1759494283.3073041;
118;1759494283.3479085;
119;1759494283.373891;
120;1759494283.4053483;
121;1759494283.4529;
122;1759494283.485051;
123;1759494283.5154817;
124;1759494283.549839;
125;1759494283.584146;
126;1759494283.6120737;
127;1759494283.6458638;
128;1759494283.678587;
129;1759494283.7111309;
130;1759494283.7403488;
131;1759494283.7754219;
132;1759494283.8036165;
133;1759494283.8521118;
134;1759494283.8857355;
135;1759494283.9211462;
136;1759494283.9475136;
137;1759494283.9829283;
138;1759494284.0122817;
139;1759494284.0472968;
140;1759494284.0794115;
141;1759494284.110369;
142;1759494284.1388514;
143;1759494284.1743238;
144;1759494284.2094028;
145;1759494284.2539763;
146;1759494284.287299;
147;1759494284.3138123;
148;1759494284.3478806;
149;1759494284.3819456;
150;1759494284.416057;
151;1759494284.4450035;
152;1759494284.4773505;
153;1759494284.5095632;
154;1759494284.5399375;
155;1759494284.571981;
156;1759494284.605194;
157;1759494284.6541004;
158;1759494284.685917;
159;1759494284.7183113;
160;1759494284.745783;
161;1759494284.7824917;
162;1759494284.8155098;
163;1759494284.8467803;
164;1759494284.8756266;
165;1759494284.9073322;
166;1759494284.9395773;
167;1759494284.9722304;
168;1759494285.0036833;
169;1759494285.0486407;
170;1759494285.0828109;
171;1759494285.113336;
172;1759494285.1476228;
173;1759494285.1795988;
174;1759494285.2111778;
175;1759494285.2430146;
176;1759494285.2760668;
177;1759494285.3114846;
178;1759494285.33952;
179;1759494285.3690305;
180;1759494285.4012134;
181;1759494285.455092;
182;1759494285.4852946;
183;1759494285.5255518;
184;1759494285.5486996;
185;1759494285.5804148;
186;1759494285.6120338;
187;1759494285.643805;
188;1759494285.6773882;
189;1759494285.709605;
190;1759494285.7432237;
191;1759494285.772739;
192;1759494285.8059037;
193;1759494285.8532498;
194;1759494285.8848426;
195;1759494285.9130592;
196;1759494285.9509573;
197;1759494285.9823525;
198;1759494286.0138538;
199;1759494286.044347;
200;1759494286.0760918;
201;1759494286.1101332;
202;1759494286.1430726;
203;1759494286.1782846;
204;1759494286.2037501;
205;1759494286.2528267;
206;1759494286.2852585;
207;1759494286.3183556;
208;1759494286.3507156;
209;1759494286.3837297;
210;1759494286.41279;
211;1759494286.4451869;
212;1759494286.476361;
213;1759494286.5082824;
214;1759494286.5395823;
215;1759494286.5721912;
216;1759494286.6048036;
217;1759494286.6503677;
218;1759494286.6841702;
219;1759494286.7164152;
220;1759494286.7487621;
221;1759494286.7791688;
222;1759494286.8141322;
223;1759494286.8466566;
224;1759494286.8731997;
225;1759494286.9069068;
226;1759494286.9397197;
227;1759494286.9732485;
228;1759494287.004767;
229;1759494287.058174;
230;1759494287.0847816;
231;1759494287.1151843;
232;1759494287.1493928;
233;1759494287.1825192;
234;1759494287.2106097;
235;1759494287.2457793;
236;1759494287.2733884;
237;1759494287.3081884;
238;1759494287.338757;
239;1759494287.3740337;
240;1759494287.40404;
241;1759494287.4505272;
242;1759494287.4874754;
243;1759494287.5142307;
244;1759494287.5471551;
245;1759494287.5789404;
246;1759494287.6122444;
247;1759494287.641094;
248;1759494287.6774023;
249;1759494287.7082353;
250;1759494287.740159;
251;1759494287.7725902;
252;1759494287.8044996;
253;1759494287.8495967;
254;1759494287.883056;
255;1759494287.91498;
256;1759494287.9480155;
257;1759494287.978399;
258;1759494288.0124226;
