EpochTime;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
1759494276.341718;53769.55;51243.90;36085.11;38830.52;49499.99;47087.42;33679.85;41176.72;28726.35;71164.44
1759494276.455033;53833.33;51542.86;36085.11;38544.36;49217.39;47246.73;33645.46;41044.09;28812.18;71357.52
1759494276.5678332;54089.52;51363.19;36010.30;38953.99;49613.66;47567.56;33611.11;41000.00;28840.86;71357.52
1759494276.681023;53833.33;51422.98;35935.69;38995.26;49217.39;47460.29;33645.46;41044.09;28812.18;71551.41
1759494276.793965;53897.22;51482.87;36085.11;39244.05;49386.68;47837.21;33817.85;41176.72;28669.29;71551.41
1759494276.907134;53833.33;51482.87;35898.46;39244.05;49499.99;48382.82;33783.28;41893.62;28442.33;71164.44
1759494277.020133;53389.12;51422.98;35898.46;39621.07;49556.79;49556.79;34060.99;42442.06;28329.61;70876.30
1759494277.133201;53389.12;50947.37;35382.17;39621.07;49386.68;50014.40;34026.12;43519.99;28217.39;70589.95
1759494277.246468;53012.50;51303.50;35602.30;39875.00;50072.01;51184.40;34130.84;43951.69;28161.47;70780.65
1759494277.359416;53326.09;51243.90;35824.14;40605.98;49670.64;51783.78;34341.46;46043.81;27994.45;70589.95
1759494277.472515;52516.14;51303.50;35492.03;40605.98;49842.10;52209.22;34341.46;49386.68;27801.00;70210.84
1759494277.585567;53326.09;51184.40;35492.03;40955.98;49727.70;52577.82;34482.76;51783.78;28050.00;69741.34
1759494277.698575;53075.00;51125.00;35676.06;40736.77;49556.79;52825.59;34624.76;54347.45;27994.45;69834.85
1759494277.81174;52825.59;51184.40;35750.00;40955.98;50072.01;53326.09;34696.04;55264.16;28161.47;69369.16
1759494277.92457;52887.79;50947.37;35713.01;41044.09;49899.43;53515.50;34696.04;55596.90;28189.42;69276.59
1759494278.0376372;52763.49;51243.90;35935.69;41488.37;49899.43;53897.22;34660.38;55396.91;28133.56;69092.01
1759494278.15073;52950.09;51006.48;35972.97;41309.91;49670.64;53833.33;34875.00;56203.12;28133.56;69092.01
1759494278.2637482;52639.61;51125.00;35972.97;41488.37;49499.99;53769.55;34910.93;56203.12;28161.47;68816.53
1759494278.376724;52577.82;51125.00;36047.68;41577.98;49842.10;53515.50;34910.93;55865.17;28161.47;68633.80
1759494278.489741;52763.49;51125.00;36010.30;41577.98;49842.10;53389.12;34839.12;55797.93;28133.56;68816.53
1759494278.602824;52454.55;50711.87;35713.01;41354.43;49499.99;53137.62;35018.98;56067.59;28133.56;68908.17
1759494278.7159371;52454.55;51363.19;35898.46;41399.01;49899.43;52950.09;34875.00;56000.00;28245.40;68633.80
1759494278.8290071;52887.79;50947.37;35861.27;41309.91;49956.87;52763.49;34946.90;55596.90;28105.68;68633.80
1759494278.9420218;52639.61;51125.00;35787.04;41132.45;49784.85;52454.55;34839.12;55065.88;28133.56;68816.53
1759494279.055129;52763.49;51363.19;35824.14;40868.11;49499.99;52270.40;34803.28;54803.06;28105.68;68633.80
1759494279.168156;52701.50;51125.00;35824.14;40868.11;49727.70;52393.07;34946.90;54477.07;28105.68;68725.08
1759494279.281138;52577.82;51065.69;35455.36;41265.45;50014.40;52393.07;34910.93;54282.80;28133.56;69184.21
1759494279.394294;52825.59;50770.60;35713.01;41088.23;50014.40;52454.55;34839.12;54282.80;28077.82;68816.53
1759494279.507276;52763.49;51482.87;35750.00;40780.49;49784.85;52516.14;34875.00;53833.33;28161.47;68725.08
1759494279.620401;52887.79;51125.00;35861.27;40912.01;49499.99;52331.69;34875.00;53642.32;28105.68;69000.00
1759494279.7335339;52763.49;51006.48;35676.06;41000.00;49670.64;52209.22;34839.12;53263.16;28133.56;68908.17
1759494279.846566;52887.79;50711.87;35676.06;40868.11;49670.64;52209.22;34839.12;53326.09;28022.21;68908.17
