EpochTime;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
1759494949.159785;61804.65;51844.26;33576.80;35236.34;49956.87;41622.87;30075.14;43567.68;26908.79;69000.00
1759494949.2726731;62039.18;52026.29;33679.85;35418.74;50072.01;41533.14;30045.06;43329.95;26961.96;69461.92
1759494949.385657;62039.18;52026.29;33611.11;35236.34;49956.87;41488.37;30075.14;43424.83;26961.96;69092.01
1759494949.498645;61804.65;52026.29;33748.76;35200.00;50129.71;41488.37;30075.14;43472.38;26988.58;68908.17
1759494949.611784;61416.67;52026.29;33611.11;35091.25;50014.40;41488.37;30045.06;43567.68;27015.24;69000.00
1759494949.724662;61571.43;52148.14;33679.85;35200.00;50187.50;41309.91;30105.26;43951.69;26961.96;69461.92
1759494949.837899;61416.67;52087.16;33576.80;35127.45;50014.40;41399.01;30135.42;43377.35;26935.36;69369.16
1759494949.950829;61032.26;52516.14;33852.44;35309.15;49670.64;42121.00;30015.01;43663.26;26855.75;69741.34
1759494950.0637;60500.01;52087.16;33852.44;35935.69;50014.40;42719.83;30105.26;44683.94;26829.27;70305.32
1759494950.176691;60198.89;52148.14;34130.84;36085.11;49899.43;42350.00;30045.06;46509.50;26961.96;70685.20
1759494950.2898118;59529.41;52087.16;34095.89;36462.04;50419.62;41622.87;30165.61;47945.66;26723.63;70210.84
1759494950.402643;59162.16;51663.12;34130.84;36690.55;50536.23;40693.11;30075.14;48437.84;26670.99;69741.34
1759494950.515649;58725.80;52026.29;34130.84;36462.04;50947.37;40736.77;30105.26;48437.84;26618.46;69369.16
1759494950.629079;58581.40;51663.12;34130.84;36959.43;51303.50;40605.98;30500.00;49104.97;26566.04;68816.53
1759494950.741601;58437.50;52087.16;34200.88;36998.04;51663.12;40475.73;30745.90;49330.16;26776.39;69184.21
1759494950.854691;58437.50;51663.12;33783.28;36882.36;51542.86;40649.52;30807.74;49273.73;26670.99;68908.17
1759494950.967615;58509.39;51965.51;34165.84;37075.41;51125.00;40475.73;30838.71;49386.68;26802.82;68725.08
1759494951.080595;58365.75;51904.83;34095.89;37191.86;50711.87;40302.91;30838.71;49161.14;26723.63;68816.53
1759494951.19362;58653.54;51965.51;34165.84;37114.18;50829.43;40173.92;30807.74;49048.89;26723.63;68816.53
1759494951.306644;58222.62;51904.83;34095.89;37114.18;50711.87;40173.92;30622.66;48714.29;26670.99;68542.72
1759494951.419592;58151.25;51602.94;34235.96;36767.12;50711.87;39875.00;30561.26;48548.16;26829.27;68725.08
1759494951.532619;58080.00;51783.78;34200.88;36424.12;50072.01;39747.77;30530.61;48437.84;26644.71;68908.17
1759494951.645824;57937.89;51904.83;34165.84;36538.01;50129.71;39705.48;30500.00;48273.02;26697.30;69000.00
1759494951.758764;57867.03;51904.83;34341.46;36614.18;50187.50;39536.88;30530.61;48327.87;26618.46;69092.01
