FrameIndex;EpochTime;Marker
0;1759494722.103323;
1;1759494722.1321301;
2;1759494722.152346;
3;1759494722.1700075;
4;1759494722.1894436;
5;1759494722.207418;
6;1759494722.2281375;
7;1759494722.257352;
8;1759494722.285565;
9;1759494722.3210618;
10;1759494722.3638475;
11;1759494722.3832467;
12;1759494722.4454975;
13;1759494722.4650571;
14;1759494722.4971364;
15;1759494722.5302;
16;1759494722.5598762;
17;1759494722.5913517;
18;1759494722.624044;
19;1759494722.659528;
20;1759494722.686278;
21;1759494722.7186878;
22;1759494722.7515461;
23;1759494722.7837126;
24;1759494722.8139699;
25;1759494722.8465953;
26;1759494722.897645;
27;1759494722.9276917;
28;1759494722.958107;
29;1759494722.9919453;
30;1759494723.0234675;
31;1759494723.0542364;
32;1759494723.0900502;
33;1759494723.1160522;
34;1759494723.149435;
35;1759494723.1841347;
36;1759494723.2152622;
37;1759494723.24748;
38;1759494723.2975576;
39;1759494723.3305018;
40;1759494723.361537;
41;1759494723.3910282;
42;1759494723.4239423;
43;1759494723.455338;
44;1759494723.4864533;
45;1759494723.5174408;
46;1759494723.552511;
47;1759494723.5832598;
48;1759494723.6157005;
49;1759494723.6460235;
50;1759494723.6951451;
51;1759494723.725466;
52;1759494723.759378;
53;1759494723.7905076;
54;1759494723.8219466;
55;1759494723.854265;
56;1759494723.8888237;
57;1759494723.9176111;
58;1759494723.9509869;
59;1759494723.9845483;
60;1759494724.0156095;
61;1759494724.0470817;
62;1759494724.0938363;
63;1759494724.127695;
64;1759494724.1575744;
65;1759494724.1925256;
66;1759494724.222542;
67;1759494724.2573605;
68;1759494724.2856004;
69;1759494724.3204594;
70;1759494724.3514118;
71;1759494724.379892;
72;1759494724.416117;
73;1759494724.447629;
74;1759494724.4932568;
75;1759494724.529457;
76;1759494724.5593073;
77;1759494724.5913045;
78;1759494724.6276505;
79;1759494724.6572661;
80;1759494724.6850276;
81;1759494724.7197459;
82;1759494724.753668;
83;1759494724.7874591;
84;1759494724.8182333;
85;1759494724.8515294;
86;1759494724.8959875;
87;1759494724.931666;
88;1759494724.9637153;
89;1759494724.9937198;
90;1759494725.0238984;
91;1759494725.0595071;
92;1759494725.0896208;
93;1759494725.123525;
94;1759494725.154366;
95;1759494725.1856678;
96;1759494725.2157073;
97;1759494725.2504916;
98;1759494725.2950985;
99;1759494725.3272717;
100;1759494725.3577898;
101;1759494725.3907974;
102;1759494725.4243474;
103;1759494725.4562314;
104;1759494725.491412;
105;1759494725.5210648;
106;1759494725.5532758;
107;1759494725.5824878;
108;1759494725.6178706;
109;1759494725.6499898;
110;1759494725.6963358;
111;1759494725.7340126;
112;1759494725.7629874;
113;1759494725.7937822;
114;1759494725.8258872;
115;1759494725.8581877;
116;1759494725.8876898;
117;1759494725.9210813;
118;1759494725.9546914;
119;1759494725.9837284;
120;1759494726.0171456;
121;1759494726.0488906;
122;1759494726.0988314;
123;1759494726.1291633;
124;1759494726.1646216;
125;1759494726.194143;
126;1759494726.224628;
127;1759494726.2551033;
128;1759494726.2869947;
129;1759494726.3194098;
130;1759494726.3520298;
131;1759494726.3868823;
132;1759494726.417654;
133;1759494726.4487348;
134;1759494726.4962435;
135;1759494726.530529;
136;1759494726.561499;
137;1759494726.5975142;
138;1759494726.627448;
139;1759494726.658286;
140;1759494726.688476;
141;1759494726.7206504;
142;1759494726.7545152;
143;1759494726.7848227;
144;1759494726.820773;
145;1759494726.8521495;
146;1759494726.9006548;
147;1759494726.9301534;
148;1759494726.9626932;
149;1759494726.9916193;
150;1759494727.0280247;
151;1759494727.0556664;
152;1759494727.0900283;
153;1759494727.1204238;
154;1759494727.154802;
155;1759494727.1845143;
156;1759494727.2132761;
157;1759494727.2497349;
158;1759494727.295872;
159;1759494727.3298576;
160;1759494727.3621266;
161;1759494727.3933756;
162;1759494727.4258506;
163;1759494727.4586911;
164;1759494727.4890227;
165;1759494727.5221343;
166;1759494727.553054;
167;1759494727.5848567;
168;1759494727.6193476;
169;1759494727.6497018;
170;1759494727.7008092;
171;1759494727.729337;
172;1759494727.763034;
173;1759494727.7956414;
174;1759494727.8236501;
175;1759494727.8585572;
176;1759494727.8923724;
177;1759494727.921154;
178;1759494727.9532318;
179;1759494727.9854293;
180;1759494728.0158231;
181;1759494728.050045;
182;1759494728.098556;
183;1759494728.132083;
184;1759494728.1633034;
185;1759494728.1937866;
186;1759494728.223593;
187;1759494728.25982;
188;1759494728.291064;
189;1759494728.3220718;
190;1759494728.3563058;
191;1759494728.3878496;
192;1759494728.4200087;
193;1759494728.451113;
194;1759494728.500841;
195;1759494728.5308483;
196;1759494728.5683398;
197;1759494728.595972;
198;1759494728.6286092;
199;1759494728.6564837;
200;1759494728.6881473;
201;1759494728.723711;
202;1759494728.7538934;
203;1759494728.7894602;
204;1759494728.816561;
205;1759494728.8859103;
206;1759494728.9093807;
207;1759494728.9309509;
208;1759494728.960366;
209;1759494728.9959447;
210;1759494729.0241368;
211;1759494729.054136;
212;1759494729.0861187;
213;1759494729.1190813;
214;1759494729.1545475;
215;1759494729.1835415;
216;1759494729.2184243;
217;1759494729.2472372;
218;1759494729.2973747;
219;1759494729.3298867;
220;1759494729.3601778;
221;1759494729.391442;
222;1759494729.4248443;
223;1759494729.458603;
224;1759494729.4872591;
225;1759494729.5210896;
226;1759494729.5504315;
227;1759494729.5872383;
228;1759494729.6153252;
229;1759494729.6515963;
230;1759494729.698947;
231;1759494729.731817;
232;1759494729.761686;
233;1759494729.7916713;
234;1759494729.8217235;
235;1759494729.859079;
236;1759494729.8870094;
237;1759494729.9199862;
238;1759494729.951908;
239;1759494729.9858918;
240;1759494730.013935;
241;1759494730.050021;
242;1759494730.0989149;
243;1759494730.1274495;
244;1759494730.1614587;
245;1759494730.192104;
246;1759494730.224474;
247;1759494730.2591307;
248;1759494730.292981;
249;1759494730.32371;
250;1759494730.355086;
251;1759494730.3873186;
252;1759494730.4188635;
253;1759494730.4472706;
254;1759494730.4985461;
255;1759494730.5331955;
256;1759494730.5619528;
257;1759494730.5904448;
258;1759494730.6248064;
259;1759494730.6542773;
260;1759494730.687325;
261;1759494730.7214441;
262;1759494730.7572498;
263;1759494730.7846284;
264;1759494730.8168604;
265;1759494730.8482826;
266;1759494730.8949766;
267;1759494730.9324565;
268;1759494730.9667003;
269;1759494730.9941893;
270;1759494731.0273087;
271;1759494731.057045;
272;1759494731.089903;
273;1759494731.12185;
274;1759494731.1533363;
275;1759494731.191153;
276;1759494731.2173567;
277;1759494731.251398;
278;1759494731.3001938;
279;1759494731.332646;
280;1759494731.3644342;
281;1759494731.3966901;
282;1759494731.4283483;
283;1759494731.4584596;
284;1759494731.4900362;
285;1759494731.5202615;
286;1759494731.551187;
287;1759494731.586138;
288;1759494731.6182182;
289;1759494731.6498926;
290;1759494731.6969993;
291;1759494731.7300506;
292;1759494731.762426;
293;1759494731.7916098;
294;1759494731.8270848;
295;1759494731.8563688;
296;1759494731.889949;
297;1759494731.9189928;
298;1759494731.9522724;
299;1759494731.985356;
300;1759494732.0163467;
301;1759494732.0510805;
302;1759494732.100366;
303;1759494732.1275597;
304;1759494732.1630728;
305;1759494732.1951668;
306;1759494732.2245958;
307;1759494732.2578857;
308;1759494732.290259;
309;1759494732.3204172;
310;1759494732.356534;
311;1759494732.3879633;
312;1759494732.4195526;
313;1759494732.4520307;
314;1759494732.5027785;
315;1759494732.5290325;
316;1759494732.5636382;
317;1759494732.592196;
318;1759494732.6231604;
319;1759494732.6579413;
320;1759494732.690187;
321;1759494732.7216876;
322;1759494732.752332;
323;1759494732.7842374;
324;1759494732.8177261;
325;1759494732.8507876;
326;1759494732.8991287;
327;1759494732.93683;
328;1759494732.9793205;
329;1759494732.9985976;
330;1759494733.0238976;
331;1759494733.0608423;
332;1759494733.0874586;
333;1759494733.120902;
334;1759494733.1574993;
335;1759494733.1849766;
336;1759494733.215501;
337;1759494733.247419;
338;1759494733.2988737;
339;1759494733.3324306;
340;1759494733.368085;
341;1759494733.3924859;
342;1759494733.4231732;
343;1759494733.4560194;
344;1759494733.490535;
345;1759494733.5216758;
346;1759494733.5548139;
347;1759494733.5868921;
348;1759494733.6177688;
349;1759494733.6475863;
350;1759494733.6943388;
351;1759494733.729931;
352;1759494733.7602155;
353;1759494733.796583;
354;1759494733.8233392;
355;1759494733.8589995;
356;1759494733.8901355;
357;1759494733.919627;
358;1759494733.9524658;
359;1759494733.9839199;
360;1759494734.021868;
361;1759494734.0486789;
362;1759494734.0984292;
363;1759494734.1339633;
364;1759494734.162812;
365;1759494734.196592;
366;1759494734.2332795;
367;1759494734.2585244;
368;1759494734.2915905;
369;1759494734.3208225;
370;1759494734.3514605;
371;1759494734.3855617;
372;1759494734.4196792;
373;1759494734.4529936;
374;1759494734.502409;
375;1759494734.532037;
376;1759494734.5623496;
377;1759494734.5950906;
378;1759494734.6248848;
379;1759494734.6620817;
380;1759494734.6905503;
381;1759494734.7212489;
382;1759494734.7532835;
383;1759494734.7859128;
384;1759494734.8198829;
385;1759494734.8504343;
386;1759494734.9074523;
387;1759494734.9316056;
388;1759494734.9624565;
389;1759494734.9936845;
390;1759494735.0265613;
391;1759494735.0602386;
392;1759494735.0970275;
393;1759494735.123738;
394;1759494735.1542847;
395;1759494735.1859372;
396;1759494735.2186337;
397;1759494735.251771;
398;1759494735.3011775;
399;1759494735.3376138;
400;1759494735.3650157;
401;1759494735.3929803;
402;1759494735.424428;
403;1759494735.4567404;
404;1759494735.491058;
405;1759494735.5239675;
406;1759494735.5567114;
407;1759494735.5859685;
408;1759494735.6182916;
409;1759494735.6480308;
410;1759494735.6978006;
411;1759494735.727674;
412;1759494735.7632196;
413;1759494735.791683;
414;1759494735.8265328;
415;1759494735.8567011;
416;1759494735.890179;
417;1759494735.92033;
418;1759494735.9537556;
419;1759494735.98396;
420;1759494736.0184479;
421;1759494736.0481238;
422;1759494736.0985556;
423;1759494736.1316512;
424;1759494736.1606028;
425;1759494736.197317;
426;1759494736.2268455;
427;1759494736.2576249;
428;1759494736.2892206;
429;1759494736.3236246;
430;1759494736.3553581;
431;1759494736.387399;
432;1759494736.422973;
433;1759494736.4526198;
434;1759494736.4990206;
435;1759494736.5330625;
436;1759494736.562208;
437;1759494736.5945375;
438;1759494736.6285877;
439;1759494736.6572013;
440;1759494736.6893325;
441;1759494736.723905;
442;1759494736.7566664;
443;1759494736.7858427;
444;1759494736.8185673;
445;1759494736.8521106;
446;1759494736.8998113;
447;1759494736.9322302;
448;1759494736.9616299;
449;1759494736.9926293;
450;1759494737.0265467;
451;1759494737.073371;
452;1759494737.0930996;
453;1759494737.1224153;
454;1759494737.1533713;
455;1759494737.1864934;
456;1759494737.218147;
457;1759494737.2487333;
458;1759494737.2998114;
459;1759494737.3305922;
460;1759494737.361347;
461;1759494737.3911488;
462;1759494737.4233787;
463;1759494737.456796;
464;1759494737.4895172;
465;1759494737.5233161;
466;1759494737.554545;
467;1759494737.5839632;
468;1759494737.61785;
469;1759494737.647224;
470;1759494737.6949997;
471;1759494737.7317073;
472;1759494737.7622173;
473;1759494737.7933416;
474;1759494737.8254814;
475;1759494737.858691;
476;1759494737.8893306;
477;1759494737.9212215;
478;1759494737.9582267;
479;1759494737.9872925;
480;1759494738.0174773;
481;1759494738.0510108;
482;1759494738.1002345;
483;1759494738.13243;
484;1759494738.1671293;
485;1759494738.1952198;
486;1759494738.2290912;
487;1759494738.2564704;
488;1759494738.314273;
489;1759494738.3339782;
490;1759494738.3532362;
491;1759494738.3919241;
492;1759494738.4190438;
493;1759494738.4512367;
494;1759494738.49863;
495;1759494738.531873;
496;1759494738.5615819;
497;1759494738.5968323;
498;1759494738.6242287;
499;1759494738.6540759;
500;1759494738.6978993;
501;1759494738.7200844;
502;1759494738.755766;
503;1759494738.7857947;
504;1759494738.8187294;
505;1759494738.8471563;
506;1759494738.8985212;
507;1759494738.9299326;
508;1759494738.9649115;
509;1759494738.9975083;
510;1759494739.0288646;
511;1759494739.056372;
512;1759494739.0884268;
513;1759494739.1231565;
514;1759494739.154737;
515;1759494739.1867886;
516;1759494739.2171185;
517;1759494739.251713;
518;1759494739.2996662;
519;1759494739.3322587;
520;1759494739.363284;
521;1759494739.396075;
522;1759494739.4254947;
523;1759494739.4627328;
524;1759494739.492481;
525;1759494739.524288;
526;1759494739.555048;
527;1759494739.5875719;
528;1759494739.6162436;
529;1759494739.647467;
530;1759494739.7014427;
531;1759494739.7316604;
532;1759494739.76255;
533;1759494739.7914994;
534;1759494739.824884;
535;1759494739.856985;
536;1759494739.8963654;
537;1759494739.9202092;
538;1759494739.951604;
539;1759494739.9840508;
540;1759494740.016562;
541;1759494740.0475585;
542;1759494740.098944;
543;1759494740.1370862;
544;1759494740.1635647;
545;1759494740.194107;
546;1759494740.2271914;
547;1759494740.2597697;
548;1759494740.2895868;
549;1759494740.323818;
550;1759494740.3607712;
551;1759494740.3886983;
552;1759494740.4200292;
553;1759494740.4494364;
554;1759494740.4976904;
555;1759494740.5314496;
556;1759494740.5638006;
557;1759494740.5935903;
558;1759494740.6268945;
559;1759494740.6605325;
560;1759494740.6979983;
561;1759494740.7239883;
562;1759494740.7554197;
563;1759494740.7907863;
564;1759494740.8180993;
565;1759494740.850452;
566;1759494740.9000769;
567;1759494740.9316561;
568;1759494740.9639504;
569;1759494740.9982724;
570;1759494741.024578;
571;1759494741.0564017;
572;1759494741.0899308;
573;1759494741.1217244;
