EpochTime;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10
1759494715.680924;59677.24;53012.50;34341.46;39119.41;50129.71;41533.14;29216.60;41757.96;26279.74;70210.84
1759494715.793906;59382.11;53137.62;34482.76;39369.21;50653.23;41354.43;29158.43;41667.84;26228.05;70116.55
1759494715.906965;59089.11;53263.16;34341.46;38995.26;50245.39;41488.37;29245.73;41443.66;26253.88;70210.84
1759494716.019957;59016.19;53263.16;34235.96;38912.78;50477.88;41399.01;29216.60;41848.34;26279.74;70305.32
1759494716.1329868;59016.19;53137.62;34306.25;38953.99;50187.50;41309.91;29187.50;41399.01;26305.63;70022.46
1759494716.246023;58870.73;53200.34;34026.12;39036.59;50303.38;41265.45;29187.50;41221.05;26305.63;70399.98
1759494716.358966;58437.50;53012.50;34095.89;38953.99;50419.62;41221.05;29187.50;41443.66;26357.49;70399.98
1759494716.471966;58943.39;53452.26;34306.25;38995.26;50361.45;41132.45;29216.60;41221.05;26357.49;70116.55
1759494716.584903;58798.21;53075.00;34447.37;39077.97;50477.88;41221.05;29245.73;41176.72;26383.46;70210.84
1759494716.697897;58870.73;53200.34;34589.20;39202.45;50419.62;41176.72;29245.73;41132.45;26357.49;70116.55
1759494716.810943;58870.73;53137.62;34341.46;38912.78;50245.39;41000.00;29304.10;41088.23;26331.54;70210.84
1759494716.924021;58581.40;53200.34;34200.88;38995.26;50419.62;40912.01;29216.60;41265.45;26409.46;70022.46
1759494717.036913;58294.12;53075.00;34060.99;39036.59;50129.71;40868.11;29245.73;42166.67;26357.49;69928.56
1759494717.149912;58294.12;53200.34;34200.88;39244.05;50129.71;40955.98;29158.43;41577.98;26357.49;70210.84
1759494717.2629812;57655.18;54025.31;34341.46;39663.24;50129.71;40912.01;29274.90;42029.86;26383.46;70116.55
1759494717.375916;57584.82;53200.34;34200.88;39790.12;50245.39;40780.49;29187.50;42212.41;26409.46;70116.55
1759494717.489019;57514.57;52950.09;34130.84;40045.45;50187.50;40605.98;29187.50;42350.00;26409.46;69741.34
1759494717.601943;57444.44;53075.00;34200.88;40605.98;50187.50;40519.09;29216.60;42580.65;26409.46;69554.87
1759494717.715004;57304.57;53263.16;34130.84;40131.04;50129.71;40432.44;29129.40;42719.83;26383.46;69461.92
1759494717.827901;57234.82;52887.79;34165.84;40002.75;50072.01;40302.91;29129.40;42626.97;26331.54;69369.16
1759494717.94091;57444.44;53075.00;34095.89;39832.53;50072.01;40259.85;29042.49;42350.00;26383.46;69461.92
1759494718.0542479;57655.18;52950.09;34271.09;39875.00;50014.40;40216.86;29129.40;42534.39;26279.74;69000.00
1759494718.166867;57796.29;53263.16;34412.02;40002.75;50187.50;40002.75;29129.40;42626.97;26331.54;69369.16
1759494718.279927;57796.29;53263.16;34696.04;39621.07;50245.39;40216.86;29071.43;42673.37;26253.88;68908.17
1759494718.392899;57867.03;53452.26;34624.76;39494.88;49899.43;40131.04;29100.40;42673.37;26435.48;68908.17
1759494718.505913;58151.25;53452.26;34660.38;39621.07;50014.40;40088.22;29129.40;42488.19;26253.88;69092.01
1759494718.61883;57796.29;53452.26;34767.48;39663.24;50303.38;39917.52;29100.40;42534.39;26228.05;69092.01
1759494718.732215;57655.18;53389.12;34767.48;39369.21;49784.85;39960.11;29100.40;42580.65;26279.74;69369.16
1759494718.84489;57937.89;53263.16;34518.20;39536.88;50014.40;40002.75;29129.40;42534.39;26383.46;69276.59
1759494718.9583611;57725.67;53137.62;34731.74;39663.24;50303.38;39875.00;29100.40;42580.65;26305.63;69369.16
1759494719.070945;57725.67;53263.16;34341.46;39411.04;50014.40;39875.00;28984.72;42534.39;26305.63;69369.16
1759494719.1839411;57796.29;52887.79;34553.67;39494.88;49842.10;39917.52;29158.43;42580.65;26279.74;69369.16
1759494719.296919;57796.29;53326.09;34518.20;39452.93;49670.64;39832.53;29100.40;42396.00;26331.54;69092.01
1759494719.4099991;57725.67;53389.12;34696.04;39494.88;49956.87;39875.00;29100.40;42534.39;26279.74;69000.00
1759494719.522905;57026.31;53389.12;34731.74;39578.95;49956.87;39832.53;29158.43;42534.39;26331.54;68908.17
1759494719.635971;57234.82;53326.09;34482.76;39621.07;49842.10;39747.77;29100.40;42488.19;26253.88;68633.80
1759494719.748912;57584.82;52950.09;34660.38;39705.48;49956.87;39790.12;29129.40;42580.65;26279.74;68816.53
1759494719.861948;57725.67;53389.12;34553.67;40045.45;49727.70;39790.12;29071.43;42673.37;26409.46;68451.80
1759494719.974869;57584.82;53452.26;34518.20;39875.00;49842.10;39832.53;29013.59;42766.36;26228.05;68633.80
1759494720.0878751;56612.56;53452.26;34731.74;39790.12;49899.43;39917.52;29129.40;42396.00;26305.63;68361.09
1759494720.2008388;57725.67;53326.09;34731.74;39747.77;50014.40;39790.12;29100.40;42580.65;26228.05;68451.80
1759494720.31388;57725.67;53578.86;34482.76;39621.07;49956.87;39875.00;29100.40;42719.83;26202.25;68270.55
1759494720.426878;57584.82;53263.16;34482.76;39621.07;50014.40;39875.00;29042.49;42626.97;26305.63;68451.80
1759494720.5401769;57514.57;53012.50;34660.38;39663.24;49956.87;40389.20;29013.59;42626.97;26279.74;68633.80
1759494720.652856;57725.67;53326.09;34589.20;39747.77;50072.01;39747.77;29100.40;42534.39;26073.64;68725.08
1759494720.7658398;57725.67;53263.16;34553.67;39536.88;49899.43;39790.12;29013.59;42626.97;26279.74;68633.80
1759494720.878792;57725.67;53452.26;34482.76;39494.88;49727.70;39578.95;28984.72;42719.83;26253.88;68451.80
1759494720.9920309;57444.44;52887.79;34518.20;39327.43;49899.43;39705.48;28984.72;42673.37;26176.47;68908.17
1759494721.104875;57514.57;53389.12;34696.04;39536.88;50014.40;39747.77;28984.72;42534.39;26279.74;69000.00
1759494721.2178218;57374.44;53137.62;34589.20;39452.93;50187.50;39663.24;29071.43;42534.39;26228.05;69000.00
1759494721.3308768;57867.03;53263.16;34624.76;39036.59;49956.87;39705.48;29042.49;42626.97;26253.88;68725.08
1759494721.444044;57584.82;53263.16;34553.67;39536.88;49956.87;39663.24;28984.72;42719.83;26331.54;69000.00
1759494721.556791;57304.57;53137.62;34447.37;39494.88;50072.01;39621.07;29042.49;42673.37;26228.05;69000.00
1759494721.669853;57374.44;53326.09;34553.67;39411.04;49842.10;39705.48;29042.49;42626.97;26279.74;66933.87
1759494721.782858;57304.57;52887.79;34803.28;39663.24;50014.40;39663.24;29129.40;42580.65;26202.25;68816.53
1759494721.895871;57514.57;53075.00;34624.76;39327.43;49899.43;39621.07;29013.59;42626.97;26279.74;68725.08
1759494722.0089018;57725.67;53389.12;34518.20;39621.07;50072.01;39663.24;29071.43;42580.65;26228.05;68542.72
1759494722.12189;57304.57;53263.16;34660.38;39369.21;50303.38;39960.11;29129.40;42719.83;26150.72;68908.17
1759494722.234828;57444.44;53326.09;34447.37;39244.05;49727.70;39790.12;29071.43;42580.65;26228.05;68633.80
1759494722.347851;57234.82;53263.16;34447.37;39663.24;49956.87;39705.48;29042.49;42719.83;26202.25;68633.80
1759494722.4608781;57514.57;53578.86;34376.72;39494.88;49727.70;39663.24;29071.43;42626.97;26253.88;68816.53
1759494722.5738082;57374.44;53326.09;34482.76;39452.93;49899.43;39663.24;28955.88;42626.97;26228.05;68542.72
1759494722.6867998;57234.82;53389.12;34376.72;39663.24;50245.39;39663.24;29013.59;42766.36;26253.88;69834.85
1759494722.7998772;57165.19;53326.09;34553.67;39369.21;49899.43;39621.07;29013.59;42673.37;26176.47;69000.00
1759494722.912808;57234.82;53263.16;34589.20;39411.04;49784.85;39790.12;29042.49;42442.06;26202.25;68725.08
1759494723.025951;57234.82;52763.49;34553.67;39285.71;50072.01;39494.88;29100.40;42580.65;26202.25;69276.59
1759494723.138861;57444.44;53452.26;34553.67;38912.78;50245.39;38995.26;29071.43;42812.95;26228.05;68908.17
1759494723.2519062;57655.18;53326.09;34553.67;39036.59;50129.71;37701.79;29042.49;42859.61;26228.05;68908.17
1759494723.364782;58008.89;53200.34;35565.50;39875.00;50129.71;37426.12;28898.31;43282.61;26176.47;69184.21
1759494723.477844;59677.24;53452.26;37543.95;41088.23;50653.23;38382.03;28840.86;43807.16;26150.72;69461.92
1759494723.59078;61262.48;53961.21;39494.88;43567.68;51904.83;39621.07;28927.08;44145.38;26253.88;68633.80
1759494723.7038138;63231.78;55000.01;41533.14;47460.29;53705.88;40562.50;29450.60;44340.21;26202.25;68725.08
1759494723.8167849;65466.02;57584.82;45231.34;54934.25;61649.03;40736.77;30347.47;44683.94;26099.31;67910.19
1759494723.929955;68000.00;62039.18;50477.88;66758.61;79681.73;40824.27;30347.47;44881.96;26099.31;67286.43
1759494724.042787;70210.84;66584.06;60727.28;83368.40;98926.16;42350.00;30195.83;45992.46;26048.00;66758.61
1759494724.155775;72335.08;70305.32;68908.17;96383.71;111863.29;44242.65;29895.16;46613.86;26228.05;66497.04
1759494724.2687519;73738.56;74147.27;79911.77;114087.59;120322.27;46509.50;30469.43;46770.99;26383.46;66237.02
1759494724.381836;75184.48;79796.62;90331.68;130436.54;130179.05;52950.09;31025.31;46666.16;26644.71;66497.04
1759494724.494758;76566.74;83863.70;98441.17;148948.80;140032.38;61804.65;31181.82;46198.34;26908.79;66410.20
1759494724.6082869;77437.08;88134.46;104000.00;164908.73;148625.03;68542.72;31276.17;46457.45;27175.77;66323.52
1759494724.720766;75711.50;92037.97;111863.29;171741.91;157462.11;73131.99;31370.85;46301.75;27636.36;66237.02
1759494724.833775;72731.86;96852.24;121227.34;177756.14;165297.30;74870.98;31656.94;45992.46;28161.47;66671.25
1759494724.946881;69184.21;101242.16;124012.93;180905.42;170912.17;76566.74;31817.21;45584.39;28329.61;66584.06
1759494725.0597901;66933.87;105425.73;124965.77;189976.42;174703.00;78322.92;32043.19;45432.63;28583.94;66758.61
1759494725.172794;64458.73;110680.41;127651.17;194562.56;179543.66;77878.04;32402.18;45432.63;28640.81;66758.61
1759494725.285779;63231.78;116387.12;135500.03;206654.81;182285.73;76891.33;32799.27;45432.63;28555.55;66410.20
1759494725.3987799;62117.64;120773.37;135500.03;216333.25;186060.03;75289.42;33100.92;45331.84;28555.55;67463.77
1759494725.5118651;60879.49;124965.77;137169.63;226181.86;191483.36;74559.50;33337.84;45432.63;28357.74;68270.55
1759494725.6247292;59382.11;124965.77;142698.33;231061.80;195084.41;73232.55;33645.46;45382.19;28217.39;67552.69
1759494725.738102;58294.12;131214.27;150917.47;231774.64;196665.11;71068.20;33852.44;45331.84;28245.40;67552.69
1759494725.850791;57374.44;132528.28;161109.80;233937.47;198268.98;70022.46;33991.30;45483.14;27994.45;67286.43
1759494725.963855;56475.61;134135.14;164521.75;231061.80;199351.39;69000.00;33852.44;45382.19;27746.00;67286.43
1759494726.0767481;56000.00;133595.81;163752.59;231774.64;201548.41;68451.80;33783.28;45181.20;27663.73;67198.03
1759494726.189774;55932.53;129411.77;160368.47;223476.88;198268.98;68725.08;33337.84;45031.25;27500.00;67375.01
1759494726.302749;56135.30;123541.16;156749.97;226181.86;197731.77;69184.21;33236.05;44981.41;27472.81;67463.77
1759494726.4157991;56475.61;119428.57;153272.36;224147.59;199896.58;70305.32;32899.45;44634.62;27445.66;67375.01
1759494726.528944;56887.91;117027.80;146707.91;222146.41;203225.02;72433.96;32732.69;44634.62;27310.35;68000.00
1759494726.641809;57374.44;115542.02;141799.98;219528.23;195608.77;74352.93;32467.96;44634.62;27229.51;67641.80
1759494726.75469;58008.89;114914.87;137451.34;218240.08;190476.36;76782.89;32205.77;44487.09;27122.14;67463.77
1759494726.867726;58509.39;115752.32;133595.81;204926.95;181363.45;78099.98;31817.21;44487.09;27175.77;67820.55
1759494726.98077;59382.11;107068.74;127402.99;194043.23;175565.84;81551.72;31307.69;44585.37;27041.92;67641.80
1759494727.0937119;60727.28;99743.22;119206.90;178645.92;168868.64;82150.28;30807.74;45584.39;26935.36;67552.69
1759494727.2068229;64541.79;93945.93;110290.76;169680.83;161109.80;82030.02;30500.00;46561.64;26723.63;67910.19
1759494727.319767;68725.08;88948.30;99743.22;151583.81;150917.47;77767.43;30135.42;49273.73;26644.71;67731.09
1759494727.43275;70780.65;84868.34;90753.45;129666.66;138588.25;69000.00;29985.00;50653.23;26670.99;67820.55
1759494727.545814;72137.93;79911.77;75817.59;105968.73;120322.27;58151.25;29865.29;51542.86;26776.39;68180.19
1759494727.658705;74352.93;74975.25;61960.86;79567.09;93648.25;49048.89;29716.42;51542.86;26988.58;67109.80
1759494727.771772;73333.33;69092.01;52825.59;61185.60;80375.01;45685.96;29865.29;51602.94;27175.77;68908.17
1759494727.8847659;70399.98;64875.60;47513.88;47300.00;64210.54;43188.13;30135.42;50711.87;27391.45;69461.92
1759494727.997757;66846.14;62910.45;43615.43;41757.96;59825.61;42859.61;30377.91;50187.50;27391.45;70116.55
1759494728.110678;64875.60;61108.86;41354.43;38912.78;59308.66;42350.00;30900.76;49273.73;27283.37;70116.55
1759494728.223806;63474.37;59899.99;39960.11;37701.79;61185.60;42396.00;31025.31;48603.45;27175.77;70876.30
1759494728.336778;62039.18;59455.69;40131.04;37075.41;61882.68;43093.93;30900.76;47891.40;27148.94;69648.01
1759494728.449718;60727.28;58725.80;40475.73;37230.77;62353.93;44536.19;31056.54;47300.00;27202.62;69648.01
1759494728.56268;60123.96;58437.50;41000.00;37347.83;61649.03;45584.39;31244.68;46770.99;27500.00;70116.55
1759494728.6759639;59825.61;58151.25;43424.83;38260.86;61262.48;47087.42;31688.92;46823.53;27718.54;69834.85
1759494728.788704;59899.99;58798.21;48437.84;38503.70;61416.67;50014.40;32336.55;46666.16;27609.03;69928.56
1759494728.9017642;60123.96;60273.96;60803.32;40605.98;64210.54;55197.95;32600.00;45281.55;28022.21;70972.15
1759494729.014671;60575.63;63393.36;67463.77;42766.36;65721.52;57304.57;33067.24;43807.16;28612.36;72039.66
1759494729.127738;60349.17;66323.52;69834.85;43519.99;65296.51;56887.91;33236.05;43951.69;29333.33;73434.31
1759494729.240708;61726.77;68451.80;71068.20;44536.19;63800.01;57304.57;33542.54;45031.25;30015.01;74044.77
1759494729.353803;62990.56;71260.88;72931.51;46198.34;62275.02;58008.89;34026.12;46405.47;30994.12;74766.93
1759494729.4667468;61882.68;73031.64;76459.02;51965.51;61416.67;59603.25;35200.00;47945.66;32205.77;75605.64
1759494729.579681;61960.86;73636.94;78099.98;61649.03;62671.05;64959.46;37583.33;49217.39;33887.09;76566.74
1759494729.692876;58798.21;73434.31;80142.87;67910.19;61649.03;71454.37;38625.85;51303.50;35055.09;75817.59
1759494729.80565;56612.56;74044.77;82877.75;73031.64;62275.02;74870.98;39244.05;52209.22;35565.50;76782.89
1759494729.918659;54868.61;74766.93;87598.53;85250.00;62353.93;77108.91;41132.45;54412.21;35492.03;77218.05
1759494730.031761;54025.31;75923.92;95610.98;101410.98;61416.67;76999.99;43093.93;56339.13;35200.00;77546.95
1759494730.144567;53326.09;77327.45;99251.67;108565.24;59308.66;75079.75;43567.68;56957.05;35200.00;77546.95
1759494730.2576141;52701.50;77218.05;98120.00;108754.73;58437.50;72731.86;42906.34;56067.59;35018.98;76674.70
1759494730.370501;52087.16;76891.33;94095.34;101580.27;55396.91;70685.20;42442.06;54803.06;34767.48;76566.74
1759494730.483459;51783.78;75711.50;90894.74;94848.27;55330.48;70022.46;41132.45;53200.34;34696.04;76891.33
1759494730.596413;51422.98;75079.75;86281.25;86542.16;55865.17;69092.01;40088.22;52209.22;34412.02;75500.01
1759494730.7095401;51723.40;74766.93;83491.82;77108.91;57584.82;67641.80;38871.62;50711.87;34060.99;75500.01
1759494730.822494;52950.09;73636.94;81432.84;72335.08;59235.34;66846.14;37820.71;49556.79;33371.85;74352.93
1759494730.935606;55463.46;73333.33;80725.20;65636.19;60123.96;64875.60;37191.86;48437.84;32369.35;73942.48
