FrameIndex;EpochTime;Marker
0;1759494812.9335988;
1;1759494812.9524229;
2;1759494812.9819229;
3;1759494812.9934661;
4;1759494813.0123062;
5;1759494813.0269618;
6;1759494813.0596678;
7;1759494813.0944543;
8;1759494813.1227725;
9;1759494813.154724;
10;1759494813.18754;
11;1759494813.2192268;
12;1759494813.2510498;
13;1759494813.3154018;
14;1759494813.339568;
15;1759494813.3634293;
16;1759494813.3930657;
17;1759494813.4254894;
18;1759494813.457884;
19;1759494813.4931927;
20;1759494813.5227427;
21;1759494813.5564914;
22;1759494813.5839553;
23;1759494813.6181748;
24;1759494813.6514573;
25;1759494813.6809204;
26;1759494813.7342215;
27;1759494813.7640674;
28;1759494813.796132;
29;1759494813.8278913;
30;1759494813.8585477;
31;1759494813.924292;
32;1759494813.948115;
33;1759494813.9643734;
34;1759494813.9857054;
35;1759494814.0176141;
36;1759494814.051701;
37;1759494814.0811856;
38;1759494814.1340327;
39;1759494814.1704187;
40;1759494814.197556;
41;1759494814.2270744;
42;1759494814.258574;
43;1759494814.294326;
44;1759494814.3218036;
45;1759494814.3536057;
46;1759494814.3894782;
47;1759494814.4186788;
48;1759494814.449646;
49;1759494814.4831944;
50;1759494814.5345294;
51;1759494814.5639336;
52;1759494814.597195;
53;1759494814.6278725;
54;1759494814.6617618;
55;1759494814.6928396;
56;1759494814.7215414;
57;1759494814.7528396;
58;1759494814.788361;
59;1759494814.8220096;
60;1759494814.8500278;
61;1759494814.8846135;
62;1759494814.9302356;
63;1759494814.9641619;
64;1759494814.9957757;
65;1759494815.0367382;
66;1759494815.0602124;
67;1759494815.0916045;
68;1759494815.1240208;
69;1759494815.156341;
70;1759494815.1883097;
71;1759494815.2223103;
72;1759494815.2569885;
73;1759494815.2840295;
74;1759494815.3301861;
75;1759494815.3625777;
76;1759494815.3972764;
77;1759494815.4281797;
78;1759494815.461879;
79;1759494815.4906201;
80;1759494815.5222564;
81;1759494815.554919;
82;1759494815.5890944;
83;1759494815.6203878;
84;1759494815.6503496;
85;1759494815.686187;
86;1759494815.7329762;
87;1759494815.7642949;
88;1759494815.7957666;
89;1759494815.827286;
90;1759494815.861295;
91;1759494815.8960457;
92;1759494815.9242215;
93;1759494815.9590726;
94;1759494815.9878788;
95;1759494816.0189822;
96;1759494816.0543013;
97;1759494816.0816379;
98;1759494816.1374538;
99;1759494816.1647913;
100;1759494816.1970253;
101;1759494816.2306805;
102;1759494816.2610369;
103;1759494816.2911336;
104;1759494816.3244553;
105;1759494816.3594396;
106;1759494816.385987;
107;1759494816.4186924;
108;1759494816.453483;
109;1759494816.4849973;
110;1759494816.533238;
111;1759494816.5682585;
112;1759494816.5986;
113;1759494816.629361;
114;1759494816.6586902;
115;1759494816.693231;
116;1759494816.7259986;
117;1759494816.7572358;
118;1759494816.7898674;
119;1759494816.8200245;
120;1759494816.8496854;
121;1759494816.8849638;
122;1759494816.9346037;
123;1759494816.9670465;
124;1759494817.0049226;
125;1759494817.029275;
126;1759494817.0605786;
127;1759494817.0932837;
128;1759494817.1259317;
129;1759494817.155631;
130;1759494817.1868317;
131;1759494817.2243516;
132;1759494817.2529745;
133;1759494817.293109;
134;1759494817.333131;
135;1759494817.3660285;
136;1759494817.3948438;
137;1759494817.4330373;
138;1759494817.4603631;
139;1759494817.4917946;
140;1759494817.526563;
141;1759494817.557557;
142;1759494817.5904243;
143;1759494817.6225986;
144;1759494817.6555424;
145;1759494817.683071;
146;1759494817.7326598;
147;1759494817.7682626;
148;1759494817.798214;
149;1759494817.827606;
150;1759494817.8630238;
151;1759494817.8930712;
152;1759494817.9230673;
153;1759494817.9562304;
154;1759494817.9856117;
155;1759494818.0210085;
156;1759494818.054326;
157;1759494818.0883684;
158;1759494818.1337373;
159;1759494818.164161;
160;1759494818.1974945;
161;1759494818.227802;
162;1759494818.2601094;
163;1759494818.296348;
164;1759494818.3242502;
165;1759494818.3548205;
166;1759494818.3889132;
167;1759494818.4210284;
168;1759494818.451798;
169;1759494818.4850717;
170;1759494818.5366504;
171;1759494818.5653067;
172;1759494818.5983362;
173;1759494818.6271398;
174;1759494818.661201;
175;1759494818.6950502;
176;1759494818.7261791;
177;1759494818.7626917;
178;1759494818.7884994;
179;1759494818.8201447;
180;1759494818.8495283;
181;1759494818.8825796;
182;1759494818.9330058;
183;1759494818.966298;
184;1759494818.998597;
185;1759494819.0293198;
186;1759494819.0600555;
187;1759494819.0911844;
188;1759494819.1239226;
189;1759494819.1587129;
190;1759494819.1900733;
191;1759494819.2212255;
192;1759494819.253517;
193;1759494819.2857463;
194;1759494819.332893;
195;1759494819.3635821;
196;1759494819.3970761;
197;1759494819.4264324;
198;1759494819.461743;
199;1759494819.4932916;
200;1759494819.5264416;
201;1759494819.5587392;
202;1759494819.591147;
203;1759494819.6245472;
204;1759494819.6555457;
205;1759494819.6862607;
206;1759494819.735235;
207;1759494819.7647004;
208;1759494819.796963;
209;1759494819.8333566;
210;1759494819.8583674;
211;1759494819.8892608;
212;1759494819.9246032;
213;1759494819.95678;
214;1759494819.9896832;
215;1759494820.0197675;
216;1759494820.0548193;
217;1759494820.0851095;
218;1759494820.1332507;
219;1759494820.1658244;
220;1759494820.198632;
221;1759494820.230189;
222;1759494820.2611332;
223;1759494820.2918148;
224;1759494820.3267918;
225;1759494820.358604;
226;1759494820.3895907;
227;1759494820.4230826;
228;1759494820.4555852;
229;1759494820.4898422;
230;1759494820.5336761;
231;1759494820.5647714;
232;1759494820.5957448;
233;1759494820.6283047;
234;1759494820.6616752;
235;1759494820.6968522;
236;1759494820.7253907;
237;1759494820.7560802;
238;1759494820.7886255;
239;1759494820.8195233;
240;1759494820.8517323;
241;1759494820.884581;
242;1759494820.933179;
243;1759494820.9647434;
244;1759494820.9932318;
245;1759494821.028255;
246;1759494821.0604782;
247;1759494821.0906253;
248;1759494821.1247163;
249;1759494821.1571078;
250;1759494821.1871874;
251;1759494821.2201586;
252;1759494821.2524362;
253;1759494821.2937047;
254;1759494821.3302286;
255;1759494821.3659973;
256;1759494821.3931355;
257;1759494821.4294424;
258;1759494821.4595642;
259;1759494821.4911962;
260;1759494821.52258;
261;1759494821.5576496;
262;1759494821.5926797;
263;1759494821.620499;
264;1759494821.6529386;
265;1759494821.6815126;
266;1759494821.730878;
267;1759494821.765137;
268;1759494821.8020964;
269;1759494821.8284807;
270;1759494821.8612065;
271;1759494821.893046;
272;1759494821.924703;
273;1759494821.9560306;
274;1759494821.9896607;
275;1759494822.0261464;
276;1759494822.0525732;
277;1759494822.0866022;
278;1759494822.1312454;
279;1759494822.1646101;
280;1759494822.196168;
281;1759494822.229392;
282;1759494822.261139;
283;1759494822.2920365;
284;1759494822.3223379;
285;1759494822.3587568;
286;1759494822.3891923;
287;1759494822.4185612;
288;1759494822.4577723;
289;1759494822.4856617;
290;1759494822.5330067;
291;1759494822.5657587;
292;1759494822.5945039;
293;1759494822.6268122;
294;1759494822.664253;
295;1759494822.691531;
296;1759494822.726986;
297;1759494822.7542953;
298;1759494822.7872055;
299;1759494822.8190708;
300;1759494822.853011;
301;1759494822.8865812;
302;1759494822.9344807;
303;1759494822.9649594;
304;1759494822.9972198;
305;1759494823.0297124;
306;1759494823.0603764;
307;1759494823.0989892;
308;1759494823.126883;
309;1759494823.155602;
310;1759494823.1897264;
311;1759494823.2191095;
312;1759494823.2511246;
313;1759494823.2833729;
314;1759494823.335097;
315;1759494823.367727;
316;1759494823.3979928;
317;1759494823.427799;
